epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2897.18,1.47157,1.4934,1.58172,0.47631,0.38875,0.39785,0.22727,1.85721,2.13478,1.94196,0.00066175,0.00066175,0.00066175
43,2964.77,1.48874,1.49593,1.584,0.67544,0.28454,0.37447,0.22253,1.80523,2.25042,1.89806,0.0006535,0.0006535,0.0006535
44,3032.08,1.4873,1.49756,1.5865,0.47508,0.42989,0.42031,0.24412,1.85172,2.11925,1.93862,0.00064525,0.00064525,0.00064525
45,3099.64,1.46817,1.49011,1.58485,0.48811,0.3692,0.40481,0.23797,1.79152,2.11379,1.85767,0.000637,0.000637,0.000637
46,3166.89,1.45353,1.46338,1.57845,0.49599,0.40177,0.43069,0.25518,1.80524,1.88108,1.88467,0.00062875,0.00062875,0.00062875
47,3233.96,1.46833,1.45315,1.5654,0.63128,0.3019,0.38842,0.23471,1.81249,2.35455,1.89266,0.0006205,0.0006205,0.0006205
48,3300.74,1.4457,1.43575,1.55965,0.53057,0.34472,0.40452,0.23679,1.81844,2.03681,1.91969,0.00061225,0.00061225,0.00061225
49,3367.38,1.43861,1.41383,1.56462,0.55527,0.31448,0.36232,0.2187,1.7954,2.41783,1.91642,0.000604,0.000604,0.000604
50,3433.74,1.44376,1.42246,1.56132,0.47468,0.38203,0.38978,0.23939,1.76123,2.20848,1.87142,0.00059575,0.00059575,0.00059575
51,3499.98,1.42998,1.40447,1.54846,0.54871,0.35251,0.39726,0.23691,1.82249,2.15754,1.91749,0.0005875,0.0005875,0.0005875
52,3566.38,1.43851,1.39644,1.55321,0.45863,0.41125,0.40982,0.24793,1.83019,2.15732,1.94045,0.00057925,0.00057925,0.00057925
53,3632.77,1.43468,1.38976,1.54264,0.4032,0.41593,0.38711,0.23674,1.7991,2.13647,1.92749,0.000571,0.000571,0.000571
54,3699.2,1.41882,1.3584,1.53517,0.53682,0.4143,0.43549,0.2554,1.86446,1.96875,1.93794,0.00056275,0.00056275,0.00056275
55,3765.68,1.40637,1.36689,1.51916,0.39691,0.41235,0.35801,0.22033,1.75575,2.40129,1.87622,0.0005545,0.0005545,0.0005545
56,3832,1.41307,1.36265,1.53424,0.52325,0.40403,0.42816,0.25973,1.83417,2.19699,1.93485,0.00054625,0.00054625,0.00054625
57,3898.59,1.40986,1.34998,1.52633,0.66486,0.30895,0.4183,0.24605,1.84337,2.04497,1.92469,0.000538,0.000538,0.000538
58,3965.35,1.40561,1.32069,1.51426,0.51278,0.38253,0.41251,0.25264,1.79301,2.24627,1.87845,0.00052975,0.00052975,0.00052975
59,4032.21,1.40195,1.35373,1.52677,0.69989,0.30167,0.40502,0.24359,1.79094,2.3006,1.90469,0.0005215,0.0005215,0.0005215
60,4098.35,1.3989,1.33362,1.5159,0.57708,0.40147,0.45145,0.26046,1.87045,1.95996,1.95495,0.00051325,0.00051325,0.00051325
61,4164.98,1.3873,1.32083,1.51333,0.51621,0.4115,0.43719,0.26315,1.82303,2.04475,1.92075,0.000505,0.000505,0.000505
62,4231.36,1.36635,1.2969,1.5018,0.39623,0.44937,0.41728,0.25427,1.78118,2.03013,1.90678,0.00049675,0.00049675,0.00049675
63,4297.85,1.37352,1.29187,1.49704,0.5128,0.35313,0.40049,0.24231,1.76797,2.19236,1.87647,0.0004885,0.0004885,0.0004885
64,4364.6,1.35659,1.26493,1.48506,0.52041,0.45679,0.45818,0.27019,1.80306,1.94293,1.89959,0.00048025,0.00048025,0.00048025
65,4431.47,1.35998,1.26182,1.48623,0.51683,0.39214,0.41116,0.24429,1.78708,2.16941,1.89643,0.000472,0.000472,0.000472
66,4498.68,1.38426,1.28076,1.50217,0.52657,0.42587,0.45182,0.26767,1.75745,1.94879,1.86734,0.00046375,0.00046375,0.00046375
67,4565.98,1.36244,1.2624,1.49005,0.4347,0.41905,0.39388,0.24161,1.77699,2.31483,1.87322,0.0004555,0.0004555,0.0004555
68,4633.29,1.34769,1.23776,1.47,0.57811,0.31155,0.39516,0.24359,1.77205,2.3073,1.86807,0.00044725,0.00044725,0.00044725
69,4700.55,1.33842,1.22703,1.47141,0.44842,0.40746,0.404,0.24594,1.8148,2.22796,1.92704,0.000439,0.000439,0.000439
70,4767.74,1.34133,1.21702,1.47087,0.5379,0.38234,0.4229,0.25264,1.78438,2.08818,1.88438,0.00043075,0.00043075,0.00043075
71,4835.22,1.31903,1.20434,1.45275,0.50618,0.44504,0.4441,0.25877,1.83458,2.05344,1.93614,0.0004225,0.0004225,0.0004225
72,4902.35,1.32426,1.20508,1.45485,0.51746,0.41791,0.42613,0.26114,1.78783,2.10694,1.90444,0.00041425,0.00041425,0.00041425
73,4969.9,1.32579,1.19222,1.45388,0.54824,0.40101,0.43667,0.2578,1.78131,2.03719,1.87817,0.000406,0.000406,0.000406
74,5036.97,1.32814,1.19015,1.45976,0.694,0.34888,0.45628,0.26232,1.81928,1.93817,1.91461,0.00039775,0.00039775,0.00039775
75,5104.32,1.32553,1.19199,1.45619,0.60068,0.37643,0.4344,0.25584,1.79763,2.15653,1.90431,0.0003895,0.0003895,0.0003895
76,5171.17,1.30017,1.16499,1.43911,0.53375,0.40685,0.43275,0.2537,1.77556,2.08824,1.86384,0.00038125,0.00038125,0.00038125
77,5238.38,1.29702,1.15899,1.43488,0.54651,0.39788,0.42391,0.25864,1.79186,2.13846,1.89518,0.000373,0.000373,0.000373
78,5305.75,1.30053,1.14927,1.43502,0.55519,0.38708,0.42586,0.25662,1.80825,2.29198,1.90296,0.00036475,0.00036475,0.00036475
79,5372.96,1.29906,1.16738,1.43601,0.55569,0.37328,0.4134,0.25262,1.78232,2.14099,1.88482,0.0003565,0.0003565,0.0003565
80,5440.14,1.27627,1.11225,1.40864,0.53318,0.39912,0.42987,0.25352,1.8137,2.07845,1.89664,0.00034825,0.00034825,0.00034825
81,5507.28,1.28297,1.13648,1.42063,0.52826,0.3735,0.41946,0.25456,1.79716,2.0795,1.9029,0.00034,0.00034,0.00034
82,5574.46,1.27883,1.11936,1.4228,0.5372,0.397,0.41292,0.25119,1.82752,2.12873,1.93263,0.00033175,0.00033175,0.00033175
83,5641.76,1.29522,1.13576,1.43541,0.56851,0.36632,0.41793,0.25851,1.80045,2.07975,1.89911,0.0003235,0.0003235,0.0003235
84,5708.83,1.27501,1.10468,1.4151,0.54182,0.36991,0.41288,0.25434,1.78456,2.12207,1.87502,0.00031525,0.00031525,0.00031525
85,5776.11,1.26384,1.09736,1.409,0.62859,0.34902,0.43128,0.26919,1.79645,2.13845,1.88556,0.000307,0.000307,0.000307
86,5843.09,1.26099,1.10263,1.40631,0.57709,0.38063,0.43106,0.2699,1.76578,2.09737,1.87317,0.00029875,0.00029875,0.00029875
87,5910.16,1.24762,1.08589,1.39137,0.57466,0.38199,0.43201,0.27007,1.76055,2.12213,1.85454,0.0002905,0.0002905,0.0002905
88,5977.37,1.24136,1.0775,1.3928,0.58173,0.39116,0.43006,0.26579,1.80943,2.10812,1.90925,0.00028225,0.00028225,0.00028225
89,6044.3,1.24148,1.07358,1.39184,0.5531,0.35618,0.42018,0.25742,1.77971,2.10873,1.87244,0.000274,0.000274,0.000274
