epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1485.86,1.28786,1.79307,1.51502,0.43781,0.55501,0.5356,0.35426,1.30875,1.56208,1.49378,0.00066175,0.00066175,0.00066175
43,1521.1,1.28801,1.77481,1.52208,0.64223,0.50734,0.57714,0.38116,1.28464,1.5184,1.46231,0.0006535,0.0006535,0.0006535
44,1556.48,1.3062,1.76725,1.52925,0.5004,0.597,0.5619,0.37642,1.27646,1.54001,1.46534,0.00064525,0.00064525,0.00064525
45,1591.91,1.28169,1.74106,1.52315,0.45765,0.64451,0.55521,0.36319,1.30673,1.47875,1.48861,0.000637,0.000637,0.000637
46,1627.4,1.2888,1.77942,1.52121,0.44124,0.54741,0.53591,0.35834,1.29705,1.59401,1.49519,0.00062875,0.00062875,0.00062875
47,1663.1,1.27225,1.73276,1.50894,0.48922,0.5264,0.54301,0.36057,1.27896,1.48014,1.47883,0.0006205,0.0006205,0.0006205
48,1698.23,1.26717,1.71112,1.50647,0.42271,0.5399,0.51209,0.33893,1.30581,1.66539,1.48251,0.00061225,0.00061225,0.00061225
49,1733.59,1.2817,1.73363,1.51008,0.47486,0.6171,0.57462,0.3867,1.2657,1.4573,1.46829,0.000604,0.000604,0.000604
50,1768.98,1.27716,1.70215,1.5115,0.69069,0.48537,0.56299,0.38721,1.26472,1.43026,1.47636,0.00059575,0.00059575,0.00059575
51,1804.39,1.25262,1.6432,1.4842,0.48203,0.58319,0.55852,0.37613,1.26978,1.45152,1.46541,0.0005875,0.0005875,0.0005875
52,1839.95,1.27725,1.67317,1.49784,0.4878,0.52025,0.56206,0.37898,1.27112,1.49036,1.47614,0.00057925,0.00057925,0.00057925
53,1875.31,1.26246,1.691,1.50039,0.511,0.65,0.62492,0.42851,1.25491,1.36765,1.45366,0.000571,0.000571,0.000571
54,1910.57,1.24855,1.62382,1.47783,0.48782,0.61951,0.60194,0.39495,1.25112,1.43862,1.45265,0.00056275,0.00056275,0.00056275
55,1945.87,1.26505,1.6258,1.48529,0.57464,0.53731,0.56951,0.38895,1.26469,1.46705,1.45172,0.0005545,0.0005545,0.0005545
56,1981.14,1.25165,1.61729,1.48143,0.4903,0.59712,0.5976,0.41136,1.24088,1.48559,1.43115,0.00054625,0.00054625,0.00054625
57,2016.45,1.2634,1.64424,1.48382,0.47766,0.63435,0.58303,0.40117,1.25554,1.39197,1.42914,0.000538,0.000538,0.000538
58,2051.78,1.27159,1.64405,1.49256,0.56767,0.50314,0.5622,0.37826,1.27353,1.48302,1.45063,0.00052975,0.00052975,0.00052975
59,2087.19,1.24549,1.61643,1.4786,0.54149,0.58657,0.59628,0.40378,1.26344,1.40631,1.46181,0.0005215,0.0005215,0.0005215
60,2122.48,1.24911,1.60566,1.47648,0.48161,0.61294,0.57783,0.39744,1.23759,1.45469,1.43564,0.00051325,0.00051325,0.00051325
61,2157.94,1.22465,1.57536,1.47322,0.5186,0.59871,0.55676,0.38325,1.26036,1.45053,1.45069,0.000505,0.000505,0.000505
62,2193.42,1.23877,1.57731,1.47229,0.49555,0.62361,0.59105,0.40164,1.26759,1.42953,1.45741,0.00049675,0.00049675,0.00049675
63,2228.65,1.22984,1.5752,1.46775,0.50439,0.68242,0.5893,0.40527,1.23798,1.37481,1.42946,0.0004885,0.0004885,0.0004885
64,2264.19,1.25037,1.57126,1.47849,0.49049,0.56035,0.57667,0.38979,1.25495,1.42836,1.43379,0.00048025,0.00048025,0.00048025
65,2299.32,1.22893,1.54352,1.46834,0.65019,0.46139,0.56901,0.38164,1.27084,1.36324,1.45699,0.000472,0.000472,0.000472
66,2334.63,1.22199,1.53095,1.4593,0.57201,0.55084,0.59385,0.40183,1.2534,1.39785,1.44298,0.00046375,0.00046375,0.00046375
67,2370.38,1.23317,1.53762,1.469,0.49904,0.55524,0.58727,0.3967,1.26417,1.41196,1.44004,0.0004555,0.0004555,0.0004555
68,2405.95,1.23154,1.52343,1.46684,0.5586,0.55707,0.59971,0.40736,1.23433,1.38965,1.41636,0.00044725,0.00044725,0.00044725
69,2441.39,1.23206,1.53016,1.46878,0.5229,0.62233,0.59414,0.39377,1.26654,1.42983,1.44661,0.000439,0.000439,0.000439
70,2476.71,1.2178,1.50204,1.46157,0.5211,0.58661,0.59882,0.4057,1.23306,1.38283,1.41884,0.00043075,0.00043075,0.00043075
71,2512.16,1.21152,1.49448,1.45274,0.62116,0.55071,0.62809,0.42385,1.23076,1.39002,1.42653,0.0004225,0.0004225,0.0004225
72,2547.62,1.21628,1.48254,1.44882,0.533,0.65579,0.62195,0.42041,1.24185,1.35186,1.43359,0.00041425,0.00041425,0.00041425
73,2583.07,1.19944,1.47716,1.4458,0.50161,0.62469,0.60465,0.40684,1.2447,1.34562,1.4251,0.000406,0.000406,0.000406
74,2618.4,1.21028,1.45572,1.44794,0.52097,0.63002,0.5945,0.40639,1.25533,1.38493,1.44054,0.00039775,0.00039775,0.00039775
75,2653.69,1.19793,1.45726,1.44511,0.64237,0.57739,0.64293,0.45056,1.23601,1.37691,1.43109,0.0003895,0.0003895,0.0003895
76,2689.31,1.19943,1.44279,1.43473,0.52499,0.61878,0.59811,0.40616,1.23994,1.39707,1.43432,0.00038125,0.00038125,0.00038125
77,2724.74,1.19253,1.46632,1.44403,0.56512,0.55695,0.5885,0.39779,1.25237,1.40595,1.43692,0.000373,0.000373,0.000373
78,2760.09,1.19004,1.44232,1.4384,0.53556,0.61364,0.59153,0.40247,1.23683,1.40935,1.42649,0.00036475,0.00036475,0.00036475
79,2795.36,1.20286,1.45222,1.4507,0.57443,0.59095,0.62467,0.43811,1.23478,1.36514,1.42666,0.0003565,0.0003565,0.0003565
80,2830.61,1.18335,1.42782,1.43232,0.57662,0.59286,0.62551,0.42704,1.23959,1.34132,1.43594,0.00034825,0.00034825,0.00034825
81,2865.84,1.1701,1.40501,1.4277,0.64406,0.58946,0.63469,0.43763,1.23426,1.3856,1.42571,0.00034,0.00034,0.00034
82,2901.39,1.19262,1.44094,1.432,0.55127,0.63985,0.61602,0.4222,1.23556,1.31802,1.43004,0.00033175,0.00033175,0.00033175
83,2936.53,1.18672,1.40789,1.434,0.52381,0.65939,0.61543,0.41884,1.25247,1.39439,1.43105,0.0003235,0.0003235,0.0003235
84,2971.9,1.17411,1.37646,1.41725,0.58553,0.6479,0.63107,0.43632,1.23618,1.32536,1.42224,0.00031525,0.00031525,0.00031525
85,3007.12,1.18897,1.4132,1.43637,0.54655,0.65348,0.60214,0.41278,1.24771,1.36526,1.43501,0.000307,0.000307,0.000307
86,3042.47,1.17829,1.38112,1.42379,0.54348,0.62211,0.6104,0.41931,1.24789,1.3846,1.43696,0.00029875,0.00029875,0.00029875
87,3077.73,1.17525,1.38397,1.43258,0.62023,0.57594,0.61242,0.41956,1.23461,1.38466,1.43446,0.0002905,0.0002905,0.0002905
88,3112.94,1.1727,1.33778,1.41618,0.50906,0.64106,0.61203,0.4173,1.22555,1.3775,1.41962,0.00028225,0.00028225,0.00028225
89,3148.18,1.17544,1.35765,1.42164,0.58803,0.60145,0.60862,0.42578,1.22956,1.34585,1.4194,0.000274,0.000274,0.000274
