epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,160.437,1.58208,1.89142,1.59152,0.2539,0.33333,0.27595,0.11298,2.27672,2.54555,2.36621,0.00066175,0.00066175,0.00066175
43,164.268,1.57493,1.85971,1.60112,0.25233,0.4362,0.33619,0.14281,2.18988,2.16599,2.04646,0.0006535,0.0006535,0.0006535
44,168.093,1.5756,1.87538,1.55546,0.37994,0.38095,0.41227,0.1733,2.1814,2.12782,2.0093,0.00064525,0.00064525,0.00064525
45,171.923,1.55397,1.83929,1.58123,0.69682,0.35768,0.32286,0.15564,2.26376,2.72213,2.15965,0.000637,0.000637,0.000637
46,175.705,1.60787,2.02683,1.63297,0.37035,0.45238,0.3993,0.19589,2.018,2.41225,1.98976,0.00062875,0.00062875,0.00062875
47,179.638,1.49004,1.75087,1.53792,0.85935,0.37363,0.45146,0.22164,1.9235,2.33009,1.87019,0.0006205,0.0006205,0.0006205
48,183.503,1.54132,1.93899,1.57815,0.44148,0.44048,0.37564,0.17195,2.17218,2.37542,2.0762,0.00061225,0.00061225,0.00061225
49,187.312,1.54215,1.8031,1.5672,0.6583,0.33333,0.30398,0.11915,2.23138,2.60939,2.11845,0.000604,0.000604,0.000604
50,191.117,1.49268,1.77907,1.54042,0.31708,0.34838,0.27471,0.13334,2.15712,2.62456,2.21313,0.00059575,0.00059575,0.00059575
51,194.971,1.57316,1.75196,1.64172,0.26794,0.46429,0.31384,0.13792,2.33277,2.59224,2.37906,0.0005875,0.0005875,0.0005875
52,198.779,1.50838,1.72929,1.57624,0.46457,0.32143,0.33857,0.14124,2.20202,2.45356,2.21136,0.00057925,0.00057925,0.00057925
53,202.603,1.48924,1.75346,1.56362,0.3526,0.41667,0.32236,0.15186,2.17335,2.5028,2.10469,0.000571,0.000571,0.000571
54,206.433,1.54509,1.87173,1.60298,0.32905,0.39286,0.31667,0.15237,2.03787,2.63712,2.03552,0.00056275,0.00056275,0.00056275
55,210.24,1.45749,1.71372,1.5026,0.28936,0.31898,0.24213,0.10583,1.98223,2.91031,1.91707,0.0005545,0.0005545,0.0005545
56,214.024,1.50418,1.78307,1.53571,0.3094,0.47922,0.29942,0.1244,2.19527,2.90414,2.13885,0.00054625,0.00054625,0.00054625
57,217.838,1.44216,1.6651,1.50141,0.43508,0.38362,0.33346,0.12242,2.29056,2.49494,2.2322,0.000538,0.000538,0.000538
58,221.652,1.46175,1.60746,1.48985,0.61804,0.31251,0.44124,0.19268,2.08751,2.20017,2.02577,0.00052975,0.00052975,0.00052975
59,225.476,1.44496,1.56704,1.51088,0.40967,0.41667,0.37331,0.17753,2.10186,2.29989,1.97747,0.0005215,0.0005215,0.0005215
60,229.326,1.51996,1.65282,1.56597,0.42156,0.46429,0.40951,0.18028,2.16636,2.30906,2.04096,0.00051325,0.00051325,0.00051325
61,233.146,1.52275,1.85495,1.57116,0.53624,0.43876,0.42094,0.19424,2.13683,2.42889,2.03365,0.000505,0.000505,0.000505
62,236.938,1.50409,1.74111,1.57221,0.57738,0.55319,0.44501,0.22521,2.15444,2.3029,2.02768,0.00049675,0.00049675,0.00049675
63,240.826,1.33869,1.48406,1.42258,0.54333,0.39286,0.43368,0.18317,2.27038,2.15112,2.15736,0.0004885,0.0004885,0.0004885
64,244.557,1.57144,1.73036,1.64668,0.59567,0.38848,0.39258,0.17189,2.47215,2.2117,2.35252,0.00048025,0.00048025,0.00048025
65,248.386,1.44531,1.58431,1.52207,0.6325,0.40814,0.44753,0.20137,2.38026,2.09226,2.24836,0.000472,0.000472,0.000472
66,252.223,1.39123,1.51148,1.45299,0.52629,0.50437,0.46428,0.20804,2.34482,2.03176,2.17993,0.00046375,0.00046375,0.00046375
67,256.052,1.53994,1.86977,1.56437,0.38565,0.55424,0.41219,0.18225,2.37865,2.16801,2.23453,0.0004555,0.0004555,0.0004555
68,259.925,1.50959,1.60464,1.52168,0.32519,0.45676,0.37096,0.13077,2.34203,2.29489,2.27515,0.00044725,0.00044725,0.00044725
69,263.697,1.47325,1.71615,1.54955,0.25416,0.5382,0.38135,0.1604,2.19113,2.00409,2.11622,0.000439,0.000439,0.000439
70,267.428,1.43212,1.57473,1.49041,0.36893,0.53455,0.48305,0.19244,2.2189,1.88751,2.1364,0.00043075,0.00043075,0.00043075
71,271.294,1.44678,1.58464,1.49911,0.33497,0.50902,0.38724,0.15846,2.33397,2.12145,2.23622,0.0004225,0.0004225,0.0004225
72,275.09,1.45737,1.61033,1.51394,0.34099,0.47179,0.35133,0.15131,2.31933,2.17433,2.24904,0.00041425,0.00041425,0.00041425
73,278.889,1.32647,1.43611,1.42071,0.42736,0.63095,0.50759,0.1895,2.27088,2.38551,2.17388,0.000406,0.000406,0.000406
74,282.683,1.39962,1.5296,1.4726,0.58508,0.58333,0.56433,0.23279,2.2362,2.38569,2.09388,0.00039775,0.00039775,0.00039775
75,286.526,1.43023,1.59731,1.52012,0.68946,0.36905,0.48662,0.21939,2.2408,2.46361,2.13528,0.0003895,0.0003895,0.0003895
76,290.28,1.4433,1.51734,1.50433,0.48461,0.55952,0.54421,0.20902,2.26198,2.35016,2.19448,0.00038125,0.00038125,0.00038125
77,294.13,1.34184,1.44802,1.40414,0.50557,0.5278,0.5363,0.19094,2.23555,2.32184,2.19911,0.000373,0.000373,0.000373
78,297.99,1.39392,1.50108,1.44504,0.61496,0.55952,0.55899,0.19948,2.30391,2.31393,2.25575,0.00036475,0.00036475,0.00036475
79,301.783,1.42178,1.56462,1.46966,0.72257,0.45238,0.56319,0.20572,2.38247,2.39369,2.29961,0.0003565,0.0003565,0.0003565
80,305.553,1.44371,1.48901,1.47388,0.63237,0.34524,0.5185,0.22839,2.25549,2.3006,2.16744,0.00034825,0.00034825,0.00034825
81,309.379,1.3951,1.55866,1.45447,0.52548,0.34524,0.45698,0.22593,2.17774,2.31624,2.1176,0.00034,0.00034,0.00034
82,313.127,1.35206,1.39362,1.42225,0.51692,0.42275,0.47832,0.21103,2.18492,2.36482,2.13685,0.00033175,0.00033175,0.00033175
83,316.927,1.32359,1.33287,1.38994,0.52049,0.44048,0.4496,0.20429,2.36316,2.28125,2.3161,0.0003235,0.0003235,0.0003235
84,320.717,1.32956,1.38627,1.41042,0.50661,0.46429,0.41857,0.20616,2.30976,2.08626,2.29179,0.00031525,0.00031525,0.00031525
85,324.463,1.40798,1.51815,1.5017,0.64218,0.54762,0.52357,0.21923,2.31888,1.97713,2.33112,0.000307,0.000307,0.000307
86,328.243,1.33977,1.542,1.45038,0.62965,0.57143,0.55947,0.2185,2.30478,2.14149,2.25832,0.00029875,0.00029875,0.00029875
87,331.991,1.28605,1.25791,1.38718,0.52223,0.57545,0.52017,0.23171,2.25405,2.30225,2.18732,0.0002905,0.0002905,0.0002905
88,335.818,1.34778,1.39333,1.38847,0.53969,0.56491,0.50408,0.21721,2.24412,2.41223,2.25191,0.00028225,0.00028225,0.00028225
89,339.656,1.37776,1.43707,1.49405,0.62737,0.46429,0.51419,0.21335,2.18288,2.24581,2.26233,0.000274,0.000274,0.000274
90,343.472,1.2423,1.25391,1.35699,0.67108,0.5927,0.50769,0.19114,2.16255,2.32081,2.26612,0.00026575,0.00026575,0.00026575
91,347.27,1.37793,1.36531,1.44143,0.4616,0.5378,0.44212,0.21635,2.10325,2.15999,2.14203,0.0002575,0.0002575,0.0002575
92,351.105,1.31051,1.29154,1.37748,0.48466,0.59524,0.45657,0.22622,2.0852,2.10628,2.0781,0.00024925,0.00024925,0.00024925
93,354.86,1.2626,1.33159,1.35825,0.47824,0.53571,0.46863,0.226,2.08816,1.95088,2.07869,0.000241,0.000241,0.000241
94,358.672,1.37628,1.41881,1.43676,0.49886,0.5119,0.47087,0.22393,2.1503,2.00731,2.09746,0.00023275,0.00023275,0.00023275
