epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,499.749,1.34944,1.79786,1.68503,0.76806,0.7726,0.82908,0.45978,1.53392,1.22837,2.07136,0.0005941,0.0005941,0.0005941
43,511.169,1.31145,1.75071,1.66144,0.75875,0.75299,0.81876,0.49004,1.40994,1.16646,1.94917,0.0005842,0.0005842,0.0005842
44,522.788,1.32152,1.71057,1.66499,0.82824,0.77894,0.85099,0.50084,1.43233,1.15118,1.9622,0.0005743,0.0005743,0.0005743
45,534.23,1.32104,1.76094,1.66382,0.73998,0.76848,0.82109,0.46657,1.46891,1.23941,2.02972,0.0005644,0.0005644,0.0005644
46,545.824,1.36269,1.72056,1.69506,0.8801,0.72883,0.83834,0.49915,1.39085,1.16184,1.91231,0.0005545,0.0005545,0.0005545
47,557.473,1.31742,1.73338,1.66773,0.84416,0.78764,0.85779,0.49544,1.41759,1.1241,1.95266,0.0005446,0.0005446,0.0005446
48,569.056,1.34409,1.72511,1.69145,0.787,0.76427,0.84173,0.48284,1.46345,1.13214,1.98551,0.0005347,0.0005347,0.0005347
49,580.529,1.3088,1.63477,1.65139,0.82661,0.75981,0.84447,0.45416,1.56117,1.15487,2.07713,0.0005248,0.0005248,0.0005248
50,592.028,1.28978,1.63727,1.64442,0.86745,0.76715,0.86152,0.51375,1.43753,1.04684,1.95709,0.0005149,0.0005149,0.0005149
51,603.623,1.29592,1.6104,1.64966,0.80485,0.78926,0.83425,0.4926,1.42907,1.12989,1.93618,0.000505,0.000505,0.000505
52,615.093,1.30079,1.65199,1.66523,0.82082,0.78939,0.84782,0.50553,1.44805,1.14773,1.95708,0.0004951,0.0004951,0.0004951
53,626.622,1.26517,1.5904,1.62111,0.85796,0.74194,0.85467,0.51736,1.41177,1.08521,1.93588,0.0004852,0.0004852,0.0004852
54,638.322,1.2826,1.61195,1.63847,0.84352,0.76015,0.86645,0.51987,1.45658,1.08986,1.93887,0.0004753,0.0004753,0.0004753
55,649.695,1.28011,1.58355,1.61773,0.86146,0.78352,0.84992,0.51316,1.37798,1.07517,1.89701,0.0004654,0.0004654,0.0004654
56,661.101,1.25476,1.52561,1.61437,0.85584,0.74973,0.85889,0.52399,1.35984,1.13333,1.88701,0.0004555,0.0004555,0.0004555
57,672.702,1.27823,1.61456,1.63574,0.85086,0.77247,0.88313,0.52544,1.34935,1.03339,1.87201,0.0004456,0.0004456,0.0004456
58,684.166,1.2453,1.51988,1.60269,0.8591,0.78865,0.87992,0.54094,1.35618,1.00898,1.88638,0.0004357,0.0004357,0.0004357
59,695.722,1.25181,1.55331,1.63042,0.84617,0.78204,0.8825,0.53107,1.35362,1.03785,1.8678,0.0004258,0.0004258,0.0004258
60,707.183,1.26067,1.58214,1.6255,0.8275,0.7723,0.87291,0.5316,1.36572,1.06517,1.88565,0.0004159,0.0004159,0.0004159
61,718.597,1.25267,1.49553,1.6041,0.82174,0.79268,0.86493,0.52729,1.35798,1.08926,1.85098,0.000406,0.000406,0.000406
62,729.853,1.24114,1.50976,1.61378,0.80729,0.80146,0.86697,0.52376,1.39435,1.0409,1.91284,0.0003961,0.0003961,0.0003961
63,741.13,1.25876,1.56846,1.61898,0.8189,0.74984,0.84677,0.51881,1.39609,1.07291,1.89342,0.0003862,0.0003862,0.0003862
64,752.558,1.27165,1.53588,1.63637,0.90463,0.73151,0.89267,0.53294,1.3615,1.01084,1.85706,0.0003763,0.0003763,0.0003763
65,763.978,1.20858,1.46298,1.57061,0.82521,0.82407,0.86779,0.54048,1.32695,0.98619,1.81865,0.0003664,0.0003664,0.0003664
66,775.452,1.23545,1.48061,1.61187,0.81008,0.81713,0.87429,0.53001,1.37882,1.03103,1.89693,0.0003565,0.0003565,0.0003565
67,786.925,1.23373,1.4482,1.60438,0.81373,0.82669,0.88198,0.55236,1.33367,0.97969,1.85826,0.0003466,0.0003466,0.0003466
68,798.457,1.22428,1.45414,1.58444,0.84897,0.7968,0.8723,0.525,1.41448,0.97169,1.90431,0.0003367,0.0003367,0.0003367
69,809.903,1.21272,1.41879,1.57888,0.86759,0.80666,0.88547,0.54068,1.36536,0.96318,1.89019,0.0003268,0.0003268,0.0003268
70,821.106,1.20461,1.40171,1.56603,0.88015,0.76237,0.87406,0.55551,1.31189,0.97238,1.83009,0.0003169,0.0003169,0.0003169
71,832.662,1.21779,1.43049,1.58456,0.85805,0.77481,0.89156,0.55812,1.30297,0.96307,1.81102,0.000307,0.000307,0.000307
72,844.174,1.17915,1.39724,1.55014,0.88422,0.80083,0.88531,0.55886,1.29846,0.97325,1.80972,0.0002971,0.0002971,0.0002971
73,855.653,1.19798,1.39204,1.56289,0.82619,0.81574,0.88298,0.56836,1.30897,0.95716,1.82136,0.0002872,0.0002872,0.0002872
74,867.083,1.2233,1.43966,1.58978,0.84376,0.77225,0.86855,0.54297,1.31526,0.97628,1.83951,0.0002773,0.0002773,0.0002773
75,878.559,1.19056,1.38428,1.55264,0.84539,0.78485,0.88443,0.57225,1.29164,0.91616,1.79673,0.0002674,0.0002674,0.0002674
76,889.921,1.20062,1.40361,1.57372,0.82767,0.84309,0.89295,0.56751,1.30889,0.88544,1.82779,0.0002575,0.0002575,0.0002575
77,901.434,1.17916,1.33021,1.55064,0.8545,0.79292,0.87986,0.5657,1.2856,0.92166,1.79614,0.0002476,0.0002476,0.0002476
